badlat,badlong,badas
42.88639832,-78.87809753,Airtek Solutions C.A.
34.0493927,-118.2640991,B2 Net Solutions Inc.
30.26780701,-97.74259949,Cogent Communications
32.96029663,-96.83000183,Colocation America Corporation
40.83259583,-74.13069916,ColoCrossing
37.35009766,-121.9853973,Contina
39.09970093,-94.57859802,Corporate Colocation Inc.
34.05439758,-118.2440033,"DigitalOcean, LLC"
47.48910522,-122.290802,Hostwinds LLC.
33.02000427,-96.74189758,Hurricane Electric LLC
37.75100708,-97.8219986,Incero LLC
34.02909851,-118.3992996,"Joe's Datacenter, LLC"
40.73080444,-73.99749756,"Kamatera, Inc."
42.28329468,-87.96060181,KVCHOSTING.COM LLC
37.42500305,-121.9459991,"Leaseweb USA, Inc."
37.63929749,-122.0442047,"Linode, LLC"
38.93760681,-77.09279633,"Micfo, LLC."
47.60620117,-122.3320999,Netrouting
,,"Nobis Technology Group, LLC"
,,"PODOJIL CONTRACTING, S.A."
,,"QuadraNet, Inc"
,,"QuickPacket, LLC"
,,SECURED SERVERS LLC
,,Total Server Solutions L.L.C.
,,"tzulo, inc."
,,"Velocity Online, Inc."
,,Webair Internet Development Company Inc.
,,ACTFIBERNET Pvt Ltd
,,AxcelX Technologies LLC
,,Bharti Airtel Ltd. AS for GPRS Service
,,"Bharti Airtel Ltd., Telemedia Services"
,,"Centrilogic, Inc."
,,"Choopa, LLC"
,,Corporaci<U+00F3>n Dana S.A.
,,"Database by Design, LLC"
,,Digital Energy Technologies Chile SpA
,,EGIHosting
,,eNET Inc.
,,Enzu Inc
,,Eonix Corporation
,,Global Frag Networks
,,Hosting Solution Ltd.
,,INFONET COMM ENTERPRISES
,,"Interphase Communications, Inc."
,,"Interserver, Inc"
,,KDDI CORPORATION
,,National Internet Backbone
,,NEXCESS.NET L.L.C.
,,Psychz Networks
,,QuadraNet Enterprises LLC
,,Sharktech
,,"SOCIEDAD BUENA HOSTING, S.A."
,,The Optimal Link Corporation
,,UpCloud USA Inc
,,"Versaweb, LLC"
,,"WestHost, Inc."
,,zColo
